indice_tiempo,idempresa,cuit,empresa,direccion,localidad,provincia,region,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson
2024-12,3689,30-68867461-8,BLESER  S.R.L.,AV. DEL LIBERTADOR 5951,MORENO,BUENOS AIRES,PAMPEANA,6,GNC,3,Nocturno,579.0,2024-12-01 09:00:00,28,PUMA,-34.60008,-58.758166,"{""type"":""Point"",""coordinates"":[-58.758166,-34.60008]}"
2024-09,3805,30-66483540-8,OSCAR EMILIO BARRAZA S.R.L.,LAS HERAS 525,GRAL. LA MADRID,BUENOS AIRES,PAMPEANA,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1431.0,2024-09-03 18:31:00,26,AXION,-37.24601,-61.263834,"{""type"":""Point"",""coordinates"":[-61.263834,-37.24601]}"
2024-03,6191,20-22562563-9,SENA HUMBERTO FABRICIO,AV 11 DE SETIEMBRE 2910,CORDOBA,CORDOBA,CENTRO,3,Nafta (premium) de más de 95 Ron,2,Diurno,1109.0,2024-03-04 17:24:00,1,BLANCA,-31.4455575678327,-64.1486483205168,"{""type"":""Point"",""coordinates"":[-64.1486483205168,-31.4455575678327]}"
2024-03,3421,30-69052871-8,MARCELO E. HOFFMANN E HIJOS S.A.,AV. SAN MARTÍN Nº 180,RAMIREZ,ENTRE RIOS,CENTRO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,948.0,2024-03-02 06:00:00,1,BLANCA,-32.17375,-60.19792,"{""type"":""Point"",""coordinates"":[-60.19792,-32.17375]}"
2024-11,9548,30-71460662-6,MK ACCION COMBUSTIBLES SRL,AV. FRIAS 701,LOMAS DE ZAMORA,BUENOS AIRES,,21,Gas Oil Grado 3,3,Nocturno,1367.0,2024-11-22 11:57:00,6,DAPSA S.A.,-34.76625,-58.4235,"{""type"":""Point"",""coordinates"":[-58.4235,-34.76625]}"
2024-01,7064,30-70705453-7,COMBUSTIBLES DEL CHACO SRL,RUTA 16 KM. 492,TACO POZO,CHACO,NEA,19,Gas Oil Grado 2,2,Diurno,879.0,2024-01-08 21:03:00,1,BLANCA,-25.619927,-63.271582,"{""type"":""Point"",""coordinates"":[-63.271582,-25.619927]}"
2024-09,1233,20-07007879-2,NEDER RUBÉN HERRERA,Ruta Nac. 157 - Km 100.5,GRANEROS,TUCUMAN,CUYO,2,Nafta (súper) entre 92 y 95 Ron,3,Nocturno,1106.0,2024-09-01 00:00:00,1,BLANCA,-27.66365,-65.24091,"{""type"":""Point"",""coordinates"":[-65.24091,-27.66365]}"
2024-10,7825,30-71118767-3,GNC SALTA S.A.,SALTA 1901,RAFAEL CALZADA,BUENOS AIRES,PAMPEANA,6,GNC,3,Nocturno,419.9,2024-10-22 12:51:00,1,BLANCA,-34.777558,-58.348555,"{""type"":""Point"",""coordinates"":[-58.348555,-34.777558]}"
2024-10,9869,30-71584873-9,ESTACION RADD S.A.S.,OCTAVIO PINTO 2291,CORDOBA,CORDOBA,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1399.0,2024-10-03 14:01:00,1,BLANCA,-31.393642,-64.211468,"{""type"":""Point"",""coordinates"":[-64.211468,-31.393642]}"
2024-11,10717,30-70769428-5,CALPETROL S.A,RUTA 9 KM103,LIMA,BUENOS AIRES,,3,Nafta (premium) de más de 95 Ron,3,Nocturno,1373.0,2024-11-08 10:38:00,1,BLANCA,-34.0749,-59.2315,"{""type"":""Point"",""coordinates"":[-59.2315,-34.0749]}"
